Condition,Type,Total_Trial,UnsmoothedAcc,cor
Early,Exception,13,0.5,0.43
Early,Exception,16,0.173913043,0.413
Early,Exception,18,0.56,0.41
Early,Exception,22,0.375,0.435
Early,Exception,26,0.64,0.416
Early,Exception,28,0.666666667,0.426
Early,Exception,33,0.12,0.452
Early,Exception,35,0.269230769,0.436
Early,Exception,38,0.565217391,0.435
Early,Exception,41,0.260869565,0.446
Early,Exception,45,0.375,0.435
Early,Exception,47,0.708333333,0.425
Early,Exception,51,0.192307692,0.417
Early,Exception,59,0.56,0.413
Early,Exception,60,0.818181818,0.456
Early,Exception,70,0.192307692,0.473
Early,Exception,74,0.48,0.471
Early,Exception,75,0.347826087,0.497
Early,Exception,79,0.391304348,0.482
Early,Exception,84,0.217391304,0.454
Early,Exception,85,0.5,0.464
Early,Exception,91,0.615384615,0.47
Early,Exception,92,0.807692308,0.461
Early,Exception,95,0.541666667,0.459
Early,Exception,100,0.52,0.47
Early,Exception,106,0.692307692,0.476
Early,Exception,108,0.130434783,0.469
Early,Exception,111,0.260869565,0.493
Early,Exception,118,0.346153846,0.493
Early,Exception,125,0.653846154,0.484
Early,Exception,128,0.68,0.459
Early,Exception,130,0.153846154,0.452
Early,Exception,131,0.666666667,0.446
Early,Exception,133,0.44,0.421
Early,Exception,136,0.28,0.453
Early,Exception,139,0.6,0.478
Early,Prototype,1,0.833333333,0.716
Early,Prototype,2,0.052631579,0.715
Early,Prototype,3,0.684210526,0.694
Early,Prototype,4,0.705882353,0.702
Early,Prototype,5,0.681818182,0.709
Early,Prototype,6,0.869565217,0.704
Early,Prototype,7,0.869565217,0.721
Early,Prototype,8,0.869565217,0.71
Early,Prototype,9,0.875,0.707
Early,Prototype,12,0.708333333,0.751
Early,Prototype,15,0.48,0.751
Early,Prototype,17,0.791666667,0.745
Early,Prototype,21,0.791666667,0.75
Early,Prototype,23,0.636363636,0.738
Early,Prototype,24,0.958333333,0.721
Early,Prototype,27,0.56,0.715
Early,Prototype,29,0.782608696,0.709
Early,Prototype,31,0.75,0.706
Early,Prototype,34,0.692307692,0.719
Early,Prototype,37,0.608695652,0.715
Early,Prototype,40,0.75,0.717
Early,Prototype,42,0.68,0.732
Early,Prototype,46,0.608695652,0.71
Early,Prototype,48,0.76,0.719
Early,Prototype,49,0.777777778,0.728
Early,Prototype,50,0.666666667,0.738
Early,Prototype,52,0.681818182,0.745
Early,Prototype,53,0.730769231,0.761
Early,Prototype,55,0.833333333,0.762
Early,Prototype,57,0.875,0.756
Early,Prototype,61,0.6,0.77
Early,Prototype,62,0.708333333,0.758
Early,Prototype,63,0.916666667,0.764
Early,Prototype,64,0.923076923,0.769
Early,Prototype,67,0.791666667,0.781
Early,Prototype,68,0.869565217,0.788
Early,Prototype,69,0.769230769,0.779
Early,Prototype,71,0.583333333,0.77
Early,Prototype,73,0.84,0.785
Early,Prototype,76,0.56,0.784
Early,Prototype,77,0.88,0.783
Early,Prototype,78,0.739130435,0.778
Early,Prototype,83,0.88,0.784
Early,Prototype,86,0.84,0.787
Early,Prototype,88,0.695652174,0.791
Early,Prototype,93,0.72,0.807
Early,Prototype,94,0.84,0.808
Early,Prototype,96,0.692307692,0.809
Early,Prototype,97,0.904761905,0.786
Early,Prototype,98,0.84,0.794
Early,Prototype,99,0.884615385,0.794
Early,Prototype,101,0.923076923,0.79
Early,Prototype,102,0.84,0.796
Early,Prototype,103,0.84,0.806
Early,Prototype,105,0.846153846,0.814
Early,Prototype,110,0.583333333,0.828
Early,Prototype,114,0.5,0.827
Early,Prototype,116,0.88,0.797
Early,Prototype,117,0.88,0.791
Early,Prototype,119,0.769230769,0.786
Early,Prototype,120,0.791666667,0.781
Early,Prototype,122,0.884615385,0.766
Early,Prototype,124,0.961538462,0.771
Early,Prototype,127,0.92,0.78
Early,Prototype,129,0.88,0.799
Early,Prototype,132,0.36,0.793
Early,Prototype,134,0.8,0.787
Early,Prototype,135,0.846153846,0.788
Early,Prototype,138,0.76,0.788
Early,Prototype,140,0.6,0.778
Early,Prototype,141,0.923076923,0.758
Early,Prototype,142,0.730769231,0.738
