Condition,Type,Total_Trial,UnsmoothedAcc,cor
Late,Exception,55,0.590909091,0.378
Late,Exception,58,0.227272727,0.381
Late,Exception,64,0.318181818,0.4
Late,Exception,65,0.238095238,0.415
Late,Exception,68,0.227272727,0.406
Late,Exception,77,0.210526316,0.428
Late,Exception,78,0.727272727,0.433
Late,Exception,82,0.318181818,0.434
Late,Exception,84,0.545454545,0.428
Late,Exception,86,0.409090909,0.459
Late,Exception,93,0.590909091,0.474
Late,Exception,95,0.578947368,0.498
Late,Exception,97,0.294117647,0.512
Late,Exception,99,0.714285714,0.527
Late,Exception,100,0.5,0.519
Late,Exception,102,0.45,0.538
Late,Exception,103,0.5,0.545
Late,Exception,104,0.727272727,0.571
Late,Exception,107,0.545454545,0.581
Late,Exception,108,0.636363636,0.577
Late,Exception,111,0.45,0.591
Late,Exception,112,0.45,0.577
Late,Exception,114,0.590909091,0.597
Late,Exception,115,0.619047619,0.602
Late,Exception,118,0.666666667,0.608
Late,Exception,119,0.818181818,0.597
Late,Exception,123,0.761904762,0.611
Late,Exception,125,0.5,0.622
Late,Exception,128,0.523809524,0.634
Late,Exception,132,0.5,0.647
Late,Exception,133,0.818181818,0.651
Late,Exception,135,0.523809524,0.654
Late,Exception,137,0.590909091,0.653
Late,Exception,139,0.55,0.636
Late,Exception,140,0.772727273,0.622
Late,Exception,142,0.818181818,0.637
Late,Prototype,1,0.888888889,0.704
Late,Prototype,2,0,0.714
Late,Prototype,3,0.571428571,0.722
Late,Prototype,4,0.684210526,0.728
Late,Prototype,5,0.578947368,0.709
Late,Prototype,6,0.947368421,0.719
Late,Prototype,7,1,0.735
Late,Prototype,8,0.761904762,0.745
Late,Prototype,11,0.904761905,0.749
Late,Prototype,13,0.8,0.803
Late,Prototype,16,0.8,0.814
Late,Prototype,17,0.8,0.82
Late,Prototype,24,0.476190476,0.841
Late,Prototype,27,0.85,0.841
Late,Prototype,28,0.954545455,0.841
Late,Prototype,29,0.904761905,0.85
Late,Prototype,30,0.954545455,0.853
Late,Prototype,33,0.863636364,0.859
Late,Prototype,39,0.75,0.86
Late,Prototype,41,0.772727273,0.87
Late,Prototype,42,0.909090909,0.891
Late,Prototype,43,0.952380952,0.897
Late,Prototype,45,1,0.891
Late,Prototype,47,0.904761905,0.894
Late,Prototype,49,0.95,0.891
Late,Prototype,50,0.909090909,0.888
Late,Prototype,53,0.80952381,0.872
Late,Prototype,54,0.954545455,0.883
Late,Prototype,56,0.80952381,0.883
Late,Prototype,57,0.954545455,0.88
Late,Prototype,60,0.857142857,0.877
Late,Prototype,62,0.954545455,0.877
Late,Prototype,66,0.904761905,0.878
Late,Prototype,67,0.80952381,0.878
Late,Prototype,69,0.5,0.875
Late,Prototype,70,0.95,0.862
Late,Prototype,71,0.9,0.868
Late,Prototype,72,0.909090909,0.865
Late,Prototype,73,0.954545455,0.868
Late,Prototype,75,0.909090909,0.856
Late,Prototype,76,0.954545455,0.845
Late,Prototype,79,0.909090909,0.848
Late,Prototype,80,0.761904762,0.877
Late,Prototype,87,0.75,0.869
Late,Prototype,88,0.904761905,0.846
Late,Prototype,90,0.904761905,0.84
Late,Prototype,92,0.909090909,0.83
Late,Prototype,94,0.772727273,0.827
Late,Prototype,98,0.727272727,0.818
Late,Prototype,101,0.857142857,0.821
Late,Prototype,105,0.954545455,0.836
Late,Prototype,106,0.818181818,0.849
Late,Prototype,109,0.545454545,0.838
Late,Prototype,110,0.8,0.838
Late,Prototype,113,0.8,0.841
Late,Prototype,116,0.857142857,0.846
Late,Prototype,117,0.818181818,0.861
